,timeOnPage,maxDepth,scrollState,brightnessWeight,showHilbert,algorithm,selectedArtwork,loadStatus,showHilbertDetails,timeSect0,timeSect1,timeSect2,timeSect3,timeSect4,timeSect5,timeSect6,mobile,x,y
1174,5327,500.0,3,0,0,0,0.0,2,0,3034,0,0,0,0,0,0,0,43.850803,1.5134646
1175,208178,7404.0,6,15,0,3,28.0,2,0,463,8978,6898,1430,11153,19682,0,0,-55.9495,-29.566025
1176,29870,2703.0,3,0,0,0,0.0,2,0,1345,23306,1051,0,0,0,0,0,-5.4186554,12.967064
1177,404777,12515.0,13,46,2,5,44.0,2,1,19938,33171,29465,43660,90076,30747,137551,0,-11.542342,-57.387756
1178,1690262,11236.0,16,98,0,1,6.0,2,0,70442,32790,99075,22472,38692,2558,3712,0,35.325737,-40.793407
1179,108983,8400.0,5,76,2,8,0.0,1,1,8996,8962,10294,9451,32817,34819,1777,0,-39.742573,-11.336441
1180,24724,6384.0,7,0,0,0,0.0,2,0,744,1482,1250,591,504,381,0,0,9.862791,30.720222
1181,68746,6912.7998046875,13,0,0,1,0.0,2,0,20191,8417,8540,6788,6773,7990,0,0,-23.223307,12.594223
1182,5174388,13250.0,21,0,2,1,9.0,2,1,10351,12022,5890,3056,5180,5125086,4554,0,48.263103,-36.013298
1183,58029,9196.0,10,0,0,4,36.0,2,0,4469,7563,17093,6337,1545,2841,7919,0,-34.06254,19.456602
1184,24266,4194.39990234375,4,0,0,0,10.0,2,0,1799,5434,7699,1073,0,0,0,0,9.1132,25.647675
1185,111545,12198.0,23,97,2,6,0.0,2,1,20005,4645,5310,2980,16231,26608,27073,0,-45.615788,-12.964908
1186,462345,9262.0,8,234,0,10,32.0,2,0,152,12488,30212,39346,114120,60766,200914,0,5.56041,-49.130814
1187,197307,11087.0,11,0,2,5,7.0,2,1,0,6833,37926,41897,4654,11938,82813,0,-38.115322,-38.213947
1188,271688,11537.599609375,15,51,2,4,35.0,2,1,63623,5268,25557,8091,104540,19987,5531,0,-21.932795,-34.327206
1189,13806,544.0,2,0,0,0,22.0,2,0,3165,0,0,0,0,0,0,0,31.843897,6.124239
1190,27542,7300.0,6,0,0,1,0.0,2,0,3806,7159,5362,2716,723,420,0,0,1.7422757,23.225725
1191,59555,9085.0,6,16,0,8,0.0,2,0,1912,3080,2742,4137,2132,12958,23158,0,-29.280216,40.783623
1192,50540,8087.0,7,28,0,4,0.0,2,0,3100,5143,6506,5673,1644,18369,6019,0,-29.620583,30.562744
1193,23128,7306.0,6,0,0,1,0.0,2,0,1132,1523,8762,3431,2241,1084,0,0,7.2851267,27.886015
1194,205438546,11356.0,6,0,0,3,24.0,2,0,66,251,5992,1385,2866,70217,205349858,0,56.604164,-28.065018
1195,66689,10400.0,11,9,0,3,6.0,2,0,9086,15477,7917,6589,8247,9272,3547,0,-34.49344,8.732175
1196,15576,3132.0,4,0,0,0,4.0,0,0,1516,5158,4006,0,0,0,0,0,24.584562,22.261204
1197,447661,10398.0,5,52,2,4,38.0,1,1,2671,12141,48795,53890,60032,167753,98473,0,4.8632736,-54.18779
1198,198454,9264.0,2,0,0,1,0.0,0,0,0,0,0,0,0,0,2619,0,-56.67428,-29.154371
1199,5415,2137.0,3,0,0,0,0.0,2,0,598,1197,0,0,0,0,0,0,46.049454,9.782721
1200,22399,3375.0,5,0,0,0,0.0,2,0,7902,1314,6877,0,0,0,0,0,12.68639,20.913357
1201,88786,10977.0,11,0,0,6,0.0,2,0,8465,5184,3784,3215,1267,14352,45775,0,-51.53625,-4.554197
1202,245367,4302.0,4,0,0,0,67.0,2,0,33583,95215,48555,2087,0,0,0,0,-11.495725,-24.95305
1203,5974,1618.0,3,0,0,0,0.0,2,0,1284,260,0,0,0,0,0,0,44.376057,7.465058
1204,90894,7292.0,5,17,0,5,34.0,1,0,4900,9855,3435,4302,11856,49267,0,0,-53.568638,8.640493
1205,2953636,12415.5,13,0,0,1,0.0,2,0,8904,3391,2157,1688,977,1106,3568,0,40.222702,-35.529205
1206,11602,1327.199951171875,3,0,0,0,0.0,2,0,99,2267,0,0,0,0,0,0,32.806644,10.322052
1207,53389,11092.0,10,0,0,1,0.0,1,0,0,5021,38254,557,1252,1302,2824,0,-18.673485,19.984785
1208,651739,11843.0,11,0,0,1,7.0,2,0,622538,3967,4084,4383,2983,4601,6033,0,21.13483,-24.270182
1209,0,0.0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,26.764,76.536476
1210,20391,7252.0,5,9,0,5,0.0,1,0,883,2121,2597,2454,7166,1693,0,0,12.409967,32.38152
1211,84099,8778.0,6,9,2,8,1.0,2,1,363,5920,3001,6486,12764,17946,23426,0,-47.917164,3.5913935
1212,0,0.0,1,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,-7.030774,67.11166
1213,35602,6532.0,6,0,0,1,0.0,2,0,1505,4528,11603,3793,5867,35,0,0,-7.1320724,24.844347
1214,19179510,11514.0,15,47,2,3,174.0,2,1,65513,43455,91975,74020,82740,58934,18758090,0,51.646057,-30.260717
1215,13514,2706.666748046875,5,0,0,0,2.0,2,0,0,2823,5349,0,0,0,0,0,27.986454,24.434555
