,timeOnPage,maxDepth,isInTune,clean,playRiff,playReference,autotuneGuitar,playNotes,playBeats,beatDiff,vizMode,guitarState,currentFrequency,targetString,timeSect0,timeSect1,timeSect2,timeSect3,timeSect4,timeSect5,timeSect6,timeSect7,timeSect8,timeSect9,timeSect10,timeSect11,timeSect12,timeSect13,x,y
142,89632,7354,2,1,0,2,2,6,0,0,0,5,82,33,166,956,684,24040,636,6688,864,2800,600,398,20032,6318,0,0,-5.390835084,2.19571006
143,38260,9463,0,3,0,0,4,0,14,0,1,0,82,75,0,0,0,0,0,0,0,0,0,0,0,13186,666,22540,-0.003658165,4.336341136
144,136300,7828,0,1,0,2,2,2,0,0,0,5,182,135,2132,5384,30585,7290,11177,42423,1312,14366,484,10150,9318,784,0,0,-0.001611429,0.270552001
145,49215,6422,0,1,0,2,2,0,0,0,0,7,58,12,33,1300,27917,885,3018,3498,64,2752,1037,1573,418,0,0,0,2.179922806,-2.597654855
146,45784,7788,0,1,0,2,2,0,0,0,0,5,62,55,168,3934,8530,802,1532,9650,6500,156,2412,168,3202,124,0,0,-0.806904524,-0.311687765
147,311184,9431,7,5,2,2,2,26,8,0,0,5,279,109,1182,10726,84068,4502,17782,33648,914,2568,1654,1034,97442,24020,22486,616,1.427379341,1.643471391
148,28498,5023,0,0,0,0,0,0,0,0,0,7,2,1,0,6807,9719,290,3038,4941,282,3331,0,0,0,0,0,0,-0.051864883,-2.029632352
149,179429,9815,2,5,0,2,16,8,10,0,2,8,171,76,2942,23865,19831,2914,4673,16923,6877,2260,11589,178,12466,28006,41911,3329,-0.07968389,1.44178855
150,1286580,10158,0,1,0,2,2,0,0,0,0,5,11,9,80,100,134,4814,320,118,118,1068,54,110,886,148,134,518,-7.07659379,-3.110690733
151,138139,8048,1,1,0,2,2,0,0,0,0,5,70,16,1017,5675,85948,11934,2848,3017,4398,1726,3361,3580,3137,9445,0,0,2.992106319,-3.522101242
152,233994,10785.5,1,1,0,4,4,0,0,0,0,10,55,48,166,400,28600,2418,5470,1650,894,810,176,494,1260,574,720,189466,1.063129989,5.099571591
